查询	Search
重置	Reset
导出	Export
结束时间	End Time
开始时间	Starting time
变动时间	Change time
全部	All
变动类型	Change type
精確查詢	Exact query
相关牌局	Related games
玩家钻石明细	Player Diamond Details
開發中	In development
是否当前俱乐部	Is the current club
行为类型	Behavior type
加入退出日志	In & out log
当前俱乐部	Current club
的俱乐部	Club
苹果	Apple
设备	Equipment
简体中文	Simplified Chinese
语言	Language
注册详情	Registration details
注册时间	Registration time
修改密码	Change Password
冻结	Freeze
正常	Normal
账号状态	Account status
基本信息	Basic Information
的游戏数据	Game data for
参与的牌局	Hands played
的财务分析	Financial analysis of
登录日志	Login log
城市	City
国家	Nation
最近登录地	Last login
明細	Details
金币	Gold
在线	Online
在线状态	Online status
最近登录时间	Last login time
钻石	Diamond
昵称昵称昵称	Nickname Nickname
昵称	Nick name
玩家	Player
玩家基本信息	Player Basic Information
请确认是否解封此账号	Please confirm whether to unblock this account
解封帳號	Unblock account
请确认是否封禁此账号	Please confirm whether to ban this account
凍結帳號	Freeze account
可手动修改	Can be modified manually
个	Indivual
默认	Default
请输入密码	Please enter password
新密码	New Password
修改密碼	Change Password
条记录	Records
共	Total
管理后台	Management
页面初始化	Page initialization
名称名称名称	Name
名称名称名称名称	Name
转账	Transfer
联盟名称	Alliance name
变动端口	Change port
牌局	Game
相关牌局名称	Related Game Name
变动后余额	Balance after change
变动前余额	Balance before changes
变动值	Changed value
变动账户	Changed account
变动账户名称	Changed account name
序号	Serial number
取得俱樂部資訊失敗	Failed to get club information
取消	Cancel
确认	Confirm
解封账号	Unblock account
封禁账号	Ban account
修改成功	Successfully modified
返回	Return
否	No
俱乐部名称	Club name
退出俱乐部	Quit the club
是	Yes
加入俱乐部	Join the club
俱乐部	Club
行为时间	Behavior time
无	None
普通成员	Ordinary member
收益模板名称	Yield template name
托管	Hosting
玩家昵称	Player nickname
所有者	Owner
成员状态	Member status
加入俱乐部时间	Member created time
最近游戏时间	Last game time
贵宾好友数	Amount of friends
贵宾收益参数	Benefit parameters
贵宾模式	VIP mode
所属贵宾	Affiliated VIP
是否贵宾	Is VIP
当前买入	Current buy
俱乐部币余额	Club Coin Balance
身份	Identity
所属俱乐部名称	Club name
解除冻结	Unfreeze
操作	Operate
启用	Enable
玩家金币明细	Player Coin Details
解除绑定	Unbind
钱包密码	Wallet password
解除綁定	Unbind
查看	Check
证件	Documents
修改	Revise
绑定手机	Bind phone
退出俱樂部	Quit the club
信息	Information
请确认是否要解除钱包密码	Please confirm whether you want to unlock the wallet password
钱包密码解除綁定	Unbind the wallet password
请确认是否要解除	Please confirm whether to cancel
號碼	Number
號	Number
不含	Does not contain
國碼	Country code
修改綁定手機	Modify the bound mobile phone
操作失败	Operation failed
操作成功	Successful operation
解除钱包密码綁定	Unbind the wallet password
解除	Lifted
解除冻结成功	Unfreeze successfully
冻结成功	Freeze successfully
有	Have
無	None
管理员	Administrator
